Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Model recved successfully!
Begin!
Epoch 0, Time:17.46941328048706, Loss:2.293324788411458
Epoch 1, Time:20.18622922897339, Loss:2.337543201446533
Epoch 2, Time:22.845571994781494, Loss:2.3145965576171874
Epoch 3, Time:25.527873039245605, Loss:2.3054418722788497
Epoch 4, Time:28.229729175567627, Loss:2.2604265689849856
Epoch 5, Time:30.886032342910767, Loss:2.348526207605998
Epoch 6, Time:33.56094837188721, Loss:2.3367662906646727
Epoch 7, Time:36.19881081581116, Loss:2.3410599231719966
Epoch 8, Time:38.86366152763367, Loss:2.2727133591969806
Epoch 9, Time:41.52981519699097, Loss:2.300902732213338
Epoch 10, Time:44.246888160705566, Loss:2.2898205121358233
Epoch 11, Time:46.92829251289368, Loss:2.3216011206308997
Epoch 12, Time:49.614723920822144, Loss:2.2826154708862303
Epoch 13, Time:52.28942632675171, Loss:2.302059427897136
Epoch 14, Time:54.91888189315796, Loss:2.2911610921223953
Epoch 15, Time:57.58530378341675, Loss:2.3037967681884766
Epoch 16, Time:60.2440242767334, Loss:2.2789269447326657
Epoch 17, Time:62.899444580078125, Loss:2.2864752928415935
Epoch 18, Time:65.61643838882446, Loss:2.2711825370788574
Epoch 19, Time:68.25344896316528, Loss:2.2989965597788493
Epoch 20, Time:70.91018104553223, Loss:2.2802906354268395
Epoch 21, Time:73.60177659988403, Loss:2.2577008883158367
Epoch 22, Time:76.25975680351257, Loss:2.272491073608398
Epoch 23, Time:78.92084622383118, Loss:2.2487733364105225
Epoch 24, Time:81.59607768058777, Loss:2.2693202177683514
Epoch 25, Time:84.2488362789154, Loss:2.272309605280558
Epoch 26, Time:86.9103684425354, Loss:2.2650121847788496
Epoch 27, Time:89.58958077430725, Loss:2.2703650633494066
Epoch 28, Time:92.26362013816833, Loss:2.2526181697845464
Epoch 29, Time:94.94716477394104, Loss:2.2559821605682373
Epoch 30, Time:97.5855462551117, Loss:2.2618534088134767
Epoch 31, Time:100.20793437957764, Loss:2.282382090886434
Epoch 32, Time:102.85763168334961, Loss:2.2824970722198485
Epoch 33, Time:105.54276394844055, Loss:2.2443357944488525
Epoch 34, Time:108.20977401733398, Loss:2.2278589089711507
Epoch 35, Time:110.88395023345947, Loss:2.2445198376973474
Epoch 36, Time:113.55845212936401, Loss:2.227408997217814
Epoch 37, Time:116.25003838539124, Loss:2.248236052195231
Epoch 38, Time:118.9349422454834, Loss:2.230804014205933
Epoch 39, Time:121.57999920845032, Loss:2.248124758402507
Epoch 40, Time:124.27588105201721, Loss:2.2109433015187583
Epoch 41, Time:126.94971919059753, Loss:2.2287590662638346
Epoch 42, Time:129.63458728790283, Loss:2.208206415176392
Epoch 43, Time:132.33401942253113, Loss:2.221980539957682
Epoch 44, Time:134.9676821231842, Loss:2.219822295506795
Epoch 45, Time:137.60215759277344, Loss:2.2328525225321454
Epoch 46, Time:144.45952081680298, Loss:2.256809425354004
Epoch 47, Time:151.6613805294037, Loss:2.2054817199707033
Epoch 48, Time:158.7616834640503, Loss:2.200184949239095
Epoch 49, Time:165.96742367744446, Loss:2.210238456726074
Epoch 50, Time:173.0743293762207, Loss:2.21702086130778
Epoch 51, Time:175.70645260810852, Loss:2.1859244346618656
Epoch 52, Time:178.38038420677185, Loss:2.2229970773061116
Epoch 53, Time:181.0260956287384, Loss:2.203342310587565
Epoch 54, Time:183.68837523460388, Loss:2.172315979003906
Epoch 55, Time:186.33846998214722, Loss:2.1800175666809083
Epoch 56, Time:189.01767826080322, Loss:2.236876877148946
Epoch 57, Time:191.68389105796814, Loss:2.183147478103638
Epoch 58, Time:194.35505986213684, Loss:2.1711502075195312
Epoch 59, Time:197.00859713554382, Loss:2.1460825284322103
Epoch 60, Time:199.69987773895264, Loss:2.1772218227386473
Epoch 61, Time:202.36398363113403, Loss:2.2000188748041793
Epoch 62, Time:204.99868321418762, Loss:2.190281454722087
Epoch 63, Time:207.6500425338745, Loss:2.1626267989476524
